City/Town,Ward,Pct,"James Arciero","Kathleen Lynch","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Chelmsford,-,5,"1,043",695,1,118,"1,857"
Chelmsford,-,7,"1,154",860,0,101,"2,115"
Chelmsford,-,8,"1,132",689,0,91,"1,912"
Littleton,-,1,"1,194",637,0,67,"1,898"
Littleton,-,2,"1,065",626,0,60,"1,751"
Littleton,-,3,"1,039",534,0,50,"1,623"
Westford,-,1,"1,319",722,1,70,"2,112"
Westford,-,2,"1,369",626,1,45,"2,041"
Westford,-,3,"1,318",668,0,50,"2,036"
Westford,-,4,"1,310",611,0,60,"1,981"
Westford,-,5,"1,254",606,1,52,"1,913"
Westford,-,6,"1,104",625,3,49,"1,781"
TOTALS,,,"14,301","7,899",7,813,"23,020"
