City/Town,Ward,Pct,"Anne M. Gobi","Steven R. Hall","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Ashburnham,-,1,"1,546","1,200",0,103,"2,849"
Ashby,-,1,807,746,0,50,"1,603"
Athol,-,1,827,559,0,28,"1,414"
Athol,-,2,695,546,3,21,"1,265"
Athol,-,3,754,452,2,28,"1,236"
Barre,-,1,760,432,1,13,"1,206"
Barre,-,2,591,453,1,24,"1,069"
Brimfield,-,1,850,925,0,37,"1,812"
Brookfield,-,1,827,686,0,18,"1,531"
Charlton,-,1,659,695,0,54,"1,408"
Charlton,-,2,673,810,2,50,"1,535"
Charlton,-,3,740,723,0,33,"1,496"
Charlton,-,4,681,677,1,43,"1,402"
"E. Brookfield",-,1,566,458,0,9,"1,033"
Hardwick,-,1,686,433,1,21,"1,141"
Holland,-,1,542,581,1,27,"1,151"
Hubbardston,-,1,"1,118","1,110",0,63,"2,291"
Monson,-,A,584,593,0,39,"1,216"
Monson,-,B,605,593,5,55,"1,258"
Monson,-,C,706,556,3,41,"1,306"
"New Braintree",-,1,322,196,0,6,524
"N. Brookfield",-,1,"1,117",913,1,31,"2,062"
Oakham,-,1,484,465,0,14,963
Palmer,-,1,576,540,1,29,"1,146"
Palmer,-,1A,74,72,0,9,155
Palmer,-,2,657,587,0,47,"1,291"
Palmer,-,3,624,364,1,28,"1,017"
Palmer,-,4,571,492,0,41,"1,104"
Paxton,-,1,"1,317",918,1,72,"2,308"
Petersham,-,1,508,212,0,14,734
Phillipston,-,1,471,363,1,9,844
Rutland,-,1,730,604,0,50,"1,384"
Rutland,-,2,767,598,1,55,"1,421"
Rutland,-,3,747,523,2,47,"1,319"
Spencer,-,1,659,448,0,15,"1,122"
Spencer,-,2,603,407,0,24,"1,034"
Spencer,-,3,673,523,0,15,"1,211"
Spencer,-,4,735,442,0,24,"1,201"
Sturbridge,-,1,793,716,0,22,"1,531"
Sturbridge,-,2,821,837,1,25,"1,684"
Sturbridge,-,3,769,629,1,40,"1,439"
Templeton,-,A,634,530,0,21,"1,185"
Templeton,-,B,597,461,2,28,"1,088"
Templeton,-,C,540,377,2,26,945
Wales,-,1,313,476,3,16,808
Ware,-,A,571,320,0,16,907
Ware,-,B,603,444,0,23,"1,070"
Ware,-,C,807,640,0,47,"1,494"
Warren,-,A,747,611,0,35,"1,393"
Warren,-,B,277,200,0,12,489
"W. Brookfield",-,1,"1,011",736,0,12,"1,759"
Winchendon,-,1,422,403,0,25,850
Winchendon,-,1A,144,114,0,14,272
Winchendon,-,2,633,569,0,39,"1,241"
Winchendon,-,3,616,561,0,43,"1,220"
TOTALS,,,"37,150","30,519",37,"1,731","69,437"
