City/Town,Ward,Pct,"Anastasia Welsh Perrino","All Others",Blanks,"Total Votes Cast"
,,,Republican
Barnstable,-,1,"1,883",0,919,"2,802"
Barnstable,-,2,"1,700",3,704,"2,407"
Barnstable,-,3,"1,218",0,606,"1,824"
Barnstable,-,4,"1,451",3,734,"2,188"
Barnstable,-,5,"1,750",0,772,"2,522"
Barnstable,-,6,"1,720",4,681,"2,405"
Barnstable,-,7,"1,758",3,918,"2,679"
Barnstable,-,8,"1,115",0,560,"1,675"
Barnstable,-,9,741,3,407,"1,151"
Barnstable,-,10,"1,618",0,628,"2,246"
Barnstable,-,11,"1,784",0,798,"2,582"
Barnstable,-,12,"1,805",3,742,"2,550"
Barnstable,-,13,"1,052",2,599,"1,653"
Bourne,-,1,"1,286",7,473,"1,766"
Bourne,-,2,"1,438",22,628,"2,088"
Bourne,-,3,866,5,348,"1,219"
Bourne,-,4,"1,559",10,493,"2,062"
Bourne,-,5,"1,214",21,668,"1,903"
Bourne,-,6,819,7,515,"1,341"
Bourne,-,7,"1,129",6,732,"1,867"
Brewster,-,1,"1,610",4,932,"2,546"
Brewster,-,2,"1,549",14,928,"2,491"
Brewster,-,3,"1,614",23,820,"2,457"
Chatham,-,1,"3,398",49,"1,675","5,122"
Dennis,-,1,"1,528",19,644,"2,191"
Dennis,-,2,"1,589",19,623,"2,231"
Dennis,-,3,"1,263",24,540,"1,827"
Dennis,-,4,"1,467",34,611,"2,112"
Dennis,-,5,"1,437",16,560,"2,013"
Eastham,-,1,"2,512",65,"1,540","4,117"
Falmouth,-,1,"1,352",40,"1,297","2,689"
Falmouth,-,2,"1,350",34,"1,008","2,392"
Falmouth,-,3,"1,488",15,838,"2,341"
Falmouth,-,4,"1,708",23,792,"2,523"
Falmouth,-,5,"1,649",34,"1,002","2,685"
Falmouth,-,6,"1,516",23,986,"2,525"
Falmouth,-,7,"1,535",19,795,"2,349"
Falmouth,-,8,"1,578",27,752,"2,357"
Falmouth,-,9,"1,463",17,713,"2,193"
Harwich,-,1,"1,668",31,783,"2,482"
Harwich,-,2,"1,609",29,765,"2,403"
Harwich,-,3,"1,667",30,726,"2,423"
Harwich,-,4,"1,557",32,620,"2,209"
Mashpee,-,1,"1,527",6,804,"2,337"
Mashpee,-,2,"1,345",9,624,"1,978"
Mashpee,-,3,"1,215",6,453,"1,674"
Mashpee,-,4,"1,232",9,677,"1,918"
Mashpee,-,5,"1,625",7,818,"2,450"
Orleans,-,1,"2,986",44,"1,855","4,885"
Provincetown,-,1,"1,156",51,"1,413","2,620"
Sandwich,-,1,"1,687",25,923,"2,635"
Sandwich,-,2,"1,570",22,885,"2,477"
Sandwich,-,3,"1,559",12,689,"2,260"
Sandwich,-,4,"1,672",7,715,"2,394"
Sandwich,-,5,"1,536",11,663,"2,210"
Sandwich,-,6,"1,584",17,603,"2,204"
Truro,-,1,952,10,806,"1,768"
Wellfleet,-,1,"1,364",31,"1,137","2,532"
Yarmouth,-,1,"1,639",10,779,"2,428"
Yarmouth,-,2,"1,638",9,770,"2,417"
Yarmouth,-,3,"1,272",12,592,"1,876"
Yarmouth,-,4,"1,522",6,620,"2,148"
Yarmouth,-,5,"1,409",12,583,"2,004"
Yarmouth,-,6,"1,361",13,585,"1,959"
Yarmouth,-,7,"1,841",33,856,"2,730"
TOTALS,,,"99,705","1,082","50,725","151,512"
