City/Town,Ward,Pct,"Vanna Howard","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chelmsford,-,4,"1,625",20,785,"2,430"
Lowell,1,1,735,6,259,"1,000"
Lowell,1,2,"1,442",14,689,"2,145"
Lowell,1,3,"1,367",10,475,"1,852"
Lowell,2,3,"1,316",6,303,"1,625"
Lowell,4,2,563,4,186,753
Lowell,4,3,705,2,234,941
Lowell,10,1,797,2,285,"1,084"
Lowell,10,2,597,4,191,792
Lowell,10,3,483,0,156,639
Lowell,11,1,962,9,305,"1,276"
Lowell,11,2,931,11,465,"1,407"
Lowell,11,3,958,7,335,"1,300"
TOTALS,,,"12,481",95,"4,668","17,244"
