City/Town,Ward,Pct,"Dylan A. Fernandes","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Aquinnah,-,1,299,0,56,355
Chilmark,-,1,781,4,139,924
Edgartown,-,1,"2,335",15,776,"3,126"
Falmouth,-,1,"2,097",22,570,"2,689"
Falmouth,-,2,"1,777",24,591,"2,392"
Falmouth,-,5,"1,913",19,753,"2,685"
Falmouth,-,6,"1,821",30,674,"2,525"
Gosnold,-,1,61,0,21,82
Nantucket,-,1,"5,779",90,"1,469","7,338"
"Oak Bluffs",-,1,"2,480",4,741,"3,225"
Tisbury,-,1,"2,313",4,541,"2,858"
"W. Tisbury",-,1,"1,909",11,383,"2,303"
TOTALS,,,"23,565",223,"6,714","30,502"
