City/Town,Ward,Pct,"Paul R. Feeney","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Attleboro,3,B,"1,457",38,561,"2,056"
Attleboro,4,A,"1,228",22,378,"1,628"
Attleboro,4,B,"1,824",52,744,"2,620"
Attleboro,5,A,975,24,243,"1,242"
Attleboro,5,B,"1,467",30,454,"1,951"
Attleboro,6,A,"1,327",32,541,"1,900"
Attleboro,6,B,"1,512",38,537,"2,087"
Foxborough,-,1,"1,432",9,576,"2,017"
Foxborough,-,2,"1,592",10,780,"2,382"
Foxborough,-,3,"1,545",13,791,"2,349"
Foxborough,-,4,"1,637",13,744,"2,394"
Foxborough,-,5,"1,587",17,679,"2,283"
Mansfield,-,1,"1,680",35,787,"2,502"
Mansfield,-,2,"1,784",28,742,"2,554"
Mansfield,-,3,"1,770",31,793,"2,594"
Mansfield,-,4,"1,732",33,667,"2,432"
Mansfield,-,5,"1,681",21,547,"2,249"
Mansfield,-,6,"1,696",32,578,"2,306"
Medfield,-,1,"1,628",0,561,"2,189"
Medfield,-,2,"1,550",0,557,"2,107"
Medfield,-,3,"1,512",0,638,"2,150"
Medfield,-,4,"1,427",0,613,"2,040"
Norton,-,1,"1,912",37,506,"2,455"
Norton,-,2,"1,601",34,747,"2,382"
Norton,-,3,"1,563",36,638,"2,237"
Norton,-,4,"1,672",42,851,"2,565"
Norton,-,5,866,26,496,"1,388"
Rehoboth,-,1,"1,535",20,997,"2,552"
Rehoboth,-,2,"1,602",11,960,"2,573"
Rehoboth,-,3,"1,732",10,"1,077","2,819"
Seekonk,-,1,"1,453",43,621,"2,117"
Seekonk,-,2,"1,661",47,683,"2,391"
Seekonk,-,3,"1,619",49,606,"2,274"
Seekonk,-,4,"1,535",49,637,"2,221"
Sharon,-,1,"1,744",9,700,"2,453"
Sharon,-,4,"1,733",6,668,"2,407"
Sharon,-,5,"1,504",9,679,"2,192"
Walpole,-,1,"1,428",14,519,"1,961"
Walpole,-,2,"1,492",16,724,"2,232"
Walpole,-,3,"1,442",11,688,"2,141"
Walpole,-,4,"1,391",14,544,"1,949"
Walpole,-,5,"1,188",15,555,"1,758"
Walpole,-,6,"1,440",15,645,"2,100"
Walpole,-,7,"1,413",13,668,"2,094"
Walpole,-,8,"1,348",12,700,"2,060"
TOTALS,,,"68,917","1,016","29,420","99,353"
