City/Town,Ward,Pct,"Paul McMurtry","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Dedham,-,1,"1,267",10,382,"1,659"
Dedham,-,2,"1,249",20,464,"1,733"
Dedham,-,3,905,21,264,"1,190"
Dedham,-,4,"1,089",19,386,"1,494"
Dedham,-,5,"1,210",27,493,"1,730"
Dedham,-,6,"1,185",22,398,"1,605"
Dedham,-,7,"1,270",35,531,"1,836"
Walpole,,,"1,004",14,560,"1,578"
Westwood,-,1,"1,165",7,464,"1,636"
Westwood,-,2,"1,088",16,515,"1,619"
Westwood,-,3,"1,045",12,463,"1,520"
Westwood,-,4,868,3,517,"1,388"
Westwood,-,5,"1,150",9,529,"1,688"
TOTALS,,,"14,495",215,"5,966","20,676"
