City/Town,Ward,Pct,"Natalie M. Blais","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashfield,-,1,"1,008",2,206,"1,216"
Bernardston,-,1,"1,044",12,355,"1,411"
Buckland,-,1,925,11,207,"1,143"
Charlemont,-,1,564,0,180,744
Colrain,-,1,805,0,245,"1,050"
Conway,-,1,"1,070",12,228,"1,310"
Deerfield,-,1,"2,718",13,577,"3,308"
Greenfield,-,5,998,8,181,"1,187"
Greenfield,-,6,878,9,165,"1,052"
Greenfield,-,7,727,12,178,917
Greenfield,-,8,717,26,178,921
Hawley,-,1,151,0,45,196
Heath,-,1,366,2,104,472
Leverett,-,1,"1,122",2,186,"1,310"
Leyden,-,1,383,1,112,496
Monroe,-,1,54,0,12,66
Montague,-,1,870,9,156,"1,035"
Montague,-,2,624,19,196,839
Montague,-,3,660,12,182,854
Montague,-,4,651,10,135,796
Montague,-,5,490,13,108,611
Montague,-,6,564,7,136,707
Rowe,-,1,181,0,84,265
Shelburne,-,1,"1,003",11,222,"1,236"
Sunderland,-,1,"1,551",8,336,"1,895"
Whately,-,1,873,15,206,"1,094"
TOTALS,,,"20,997",214,"4,920","26,131"
