City/Town,Ward,Pct,"John H. Rogers","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Norwood,-,1,"1,371",26,511,"1,908"
Norwood,-,2,"1,322",19,457,"1,798"
Norwood,-,3,"1,385",38,523,"1,946"
Norwood,-,4,"1,467",31,610,"2,108"
Norwood,-,5,968,29,312,"1,309"
Norwood,-,6,"1,013",29,426,"1,468"
Norwood,-,7,"1,352",38,491,"1,881"
Norwood,-,8,"1,481",21,494,"1,996"
Norwood,-,9,"1,360",29,541,"1,930"
Walpole,-,1,"1,386",18,462,"1,866"
Walpole,-,2,"1,433",18,660,"2,111"
Walpole,-,6,"1,488",18,570,"2,076"
Walpole,-,7,"1,417",9,630,"2,056"
TOTALS,,,"17,443",323,"6,687","24,453"
